dataset,metric,classifier,noise_type,intensity,accuracy
ArrowHead,erp,1nn,missing,0.05,0.867442
ArrowHead,erp,svm,missing,0.05,0.815393
ArrowHead,erp,1nn,missing,0.1,0.853267
ArrowHead,erp,svm,missing,0.1,0.824806
ArrowHead,erp,1nn,missing,0.2,0.758583
ArrowHead,erp,svm,missing,0.2,0.768106
ArrowHead,erp,1nn,missing,0.4,0.692137
ArrowHead,erp,svm,missing,0.4,0.753488
ArrowHead,erp,1nn,outlier,0.0,0.900443
ArrowHead,erp,svm,outlier,0.0,0.820377
ArrowHead,erp,1nn,outlier,0.05,0.587929
ArrowHead,erp,svm,outlier,0.05,0.767996
ArrowHead,erp,1nn,outlier,0.1,0.545404
ArrowHead,erp,svm,outlier,0.1,0.683056
ArrowHead,erp,1nn,outlier,0.2,0.478738
ArrowHead,erp,svm,outlier,0.2,0.734994
ArrowHead,erp,1nn,outlier,0.4,0.501993
ArrowHead,erp,svm,outlier,0.4,0.644629
ArrowHead,msm,1nn,jittering,0.0,0.924142
ArrowHead,msm,svm,jittering,0.0,0.844075
ArrowHead,msm,1nn,jittering,0.05,0.924252
ArrowHead,msm,svm,jittering,0.05,0.843965
ArrowHead,msm,1nn,jittering,0.1,0.886268
ArrowHead,msm,svm,jittering,0.1,0.824917
ArrowHead,msm,1nn,jittering,0.2,0.720487
ArrowHead,msm,svm,jittering,0.2,0.80598
ArrowHead,msm,1nn,jittering,0.4,0.497674
ArrowHead,msm,svm,jittering,0.4,0.715836
ArrowHead,msm,1nn,missing,0.0,0.924142
ArrowHead,msm,svm,missing,0.0,0.844075
ArrowHead,msm,1nn,missing,0.05,0.881506
ArrowHead,msm,svm,missing,0.05,0.848616
ArrowHead,msm,1nn,missing,0.1,0.881617
ArrowHead,msm,svm,missing,0.1,0.853378
ArrowHead,msm,1nn,missing,0.2,0.815282
