,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
C(metric)[T.lcss]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.052,0.071,-0.733,0.464,-0.191,0.087
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.030,0.071,-0.427,0.670,-0.170,0.109
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.017,0.071,-0.243,0.808,-0.157,0.122
C(metric)[T.msm]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.030,0.071,-0.415,0.678,-0.169,0.110
C(metric)[T.sbd]:C(classifier)[T.svm]:C(intensity)[T.0.05],0.002,0.071,0.032,0.975,-0.137,0.142
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(intensity)[T.0.05],0.001,0.071,0.013,0.989,-0.138,0.140
C(metric)[T.twe]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.030,0.071,-0.421,0.674,-0.169,0.109
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(intensity)[T.0.05],0.076,0.071,1.075,0.283,-0.063,0.216
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.021,0.071,-0.291,0.771,-0.160,0.119
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(intensity)[T.0.1],0.102,0.071,1.438,0.150,-0.037,0.241
C(metric)[T.dtw]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.015,0.071,-0.209,0.835,-0.154,0.124
C(metric)[T.edr]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.016,0.071,-0.225,0.822,-0.155,0.123
C(metric)[T.erp]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.023,0.071,-0.325,0.745,-0.162,0.116
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.020,0.071,-0.285,0.776,-0.160,0.119
