metric,noise_type,contrast,diff,SE,z,p_raw,CI_low,CI_high,p_fdr
sbd,missing,linear_trend,-0.488479,0.079446,-6.1486,0.0,-0.644193,-0.332765,0.0
sbd,outlier,I0.05-I0.0,-0.273185,0.035529,-7.689,0.0,-0.342822,-0.203548,0.0
sbd,outlier,I0.1-I0.0,-0.345516,0.035529,-9.7248,0.0,-0.415153,-0.275879,0.0
sbd,outlier,I0.2-I0.0,-0.414922,0.035529,-11.6783,0.0,-0.48456,-0.345285,0.0
sbd,outlier,I0.4-I0.0,-0.477389,0.035529,-13.4365,0.0,-0.547026,-0.407752,0.0
sbd,outlier,linear_trend,-0.954991,0.079446,-12.0207,0.0,-1.110704,-0.799277,0.0
shape_dtw,jittering,I0.05-I0.0,-0.055505,0.035529,-1.5622,0.118234,-0.125142,0.014132,0.14001394736842107
shape_dtw,jittering,I0.1-I0.0,-0.072845,0.035529,-2.0503,0.040337,-0.142482,-0.003208,0.05299751824817518
shape_dtw,jittering,I0.2-I0.0,-0.121107,0.035529,-3.4087,0.000653,-0.190744,-0.051469,0.001078348623853211
shape_dtw,jittering,I0.4-I0.0,-0.218907,0.035529,-6.1613,0.0,-0.288544,-0.149269,0.0
shape_dtw,jittering,linear_trend,-0.515893,0.079446,-6.4936,0.0,-0.671606,-0.360179,0.0
shape_dtw,missing,I0.05-I0.0,-0.11726,0.035529,-3.3004,0.000966,-0.186897,-0.047623,0.001512
shape_dtw,missing,I0.1-I0.0,-0.136173,0.035529,-3.8327,0.000127,-0.20581,-0.066535,0.00023567010309278352
shape_dtw,missing,I0.2-I0.0,-0.166009,0.035529,-4.6725,3e-06,-0.235646,-0.096371,6.506024096385542e-06
shape_dtw,missing,I0.4-I0.0,-0.233864,0.035529,-6.5823,0.0,-0.303501,-0.164227,0.0
shape_dtw,missing,linear_trend,-0.482318,0.079446,-6.071,0.0,-0.638031,-0.326604,0.0
shape_dtw,outlier,I0.05-I0.0,-0.322488,0.035529,-9.0767,0.0,-0.392125,-0.252851,0.0
shape_dtw,outlier,I0.1-I0.0,-0.369644,0.035529,-10.4039,0.0,-0.439281,-0.300006,0.0
shape_dtw,outlier,I0.2-I0.0,-0.436247,0.035529,-12.2785,0.0,-0.505884,-0.36661,0.0
shape_dtw,outlier,I0.4-I0.0,-0.451076,0.035529,-12.6959,0.0,-0.520714,-0.381439,0.0
shape_dtw,outlier,linear_trend,-0.838504,0.079446,-10.5544,0.0,-0.994218,-0.682791,0.0
twe,jittering,I0.05-I0.0,-0.053836,0.035529,-1.5153,0.129708,-0.123473,0.015802,0.1496630769230769
twe,jittering,I0.1-I0.0,-0.069799,0.035529,-1.9646,0.049466,-0.139436,-0.000162,0.06226741258741259
twe,jittering,I0.2-I0.0,-0.124819,0.035529,-3.5131,0.000443,-0.194456,-0.055181,0.0007594285714285714
twe,jittering,I0.4-I0.0,-0.209036,0.035529,-5.8835,0.0,-0.278674,-0.139399,0.0
twe,jittering,linear_trend,-0.496265,0.079446,-6.2466,0.0,-0.651979,-0.340551,0.0
twe,missing,I0.05-I0.0,-0.048449,0.035529,-1.3636,0.172683,-0.118086,0.021188,0.19306173913043478
twe,missing,I0.1-I0.0,-0.066311,0.035529,-1.8664,0.061989,-0.135948,0.003327,0.07695186206896552
twe,missing,I0.2-I0.0,-0.09388,0.035529,-2.6423,0.008234,-0.163517,-0.024243,0.011489302325581395
twe,missing,I0.4-I0.0,-0.136351,0.035529,-3.8377,0.000124,-0.205988,-0.066714,0.00023494736842105264
twe,missing,linear_trend,-0.306214,0.079446,-3.8544,0.000116,-0.461928,-0.1505,0.00013736842105263158
twe,outlier,I0.05-I0.0,-0.144934,0.035529,-4.0793,4.5e-05,-0.214572,-0.075297,9.101123595505618e-05
twe,outlier,I0.1-I0.0,-0.216349,0.035529,-6.0893,0.0,-0.285986,-0.146712,0.0
twe,outlier,I0.2-I0.0,-0.286589,0.035529,-8.0663,0.0,-0.356226,-0.216951,0.0
twe,outlier,I0.4-I0.0,-0.305821,0.035529,-8.6076,0.0,-0.375458,-0.236184,0.0
twe,outlier,linear_trend,-0.654739,0.079446,-8.2413,0.0,-0.810452,-0.499025,0.0
wddtw,jittering,I0.05-I0.0,-0.139873,0.035529,-3.9368,8.3e-05,-0.20951,-0.070236,0.00016239130434782609
wddtw,jittering,I0.1-I0.0,-0.242516,0.035529,-6.8258,0.0,-0.312154,-0.172879,0.0
wddtw,jittering,I0.2-I0.0,-0.341406,0.035529,-9.6092,0.0,-0.411044,-0.271769,0.0
wddtw,jittering,I0.4-I0.0,-0.42027,0.035529,-11.8289,0.0,-0.489907,-0.350633,0.0
wddtw,jittering,linear_trend,-0.960247,0.079446,-12.0868,0.0,-1.115961,-0.804533,0.0
wddtw,missing,I0.05-I0.0,-0.223571,0.035529,-6.2926,0.0,-0.293208,-0.153934,0.0
wddtw,missing,I0.1-I0.0,-0.242492,0.035529,-6.8251,0.0,-0.312129,-0.172855,0.0
wddtw,missing,I0.2-I0.0,-0.236719,0.035529,-6.6627,0.0,-0.306356,-0.167082,0.0
wddtw,missing,I0.4-I0.0,-0.234329,0.035529,-6.5954,0.0,-0.303966,-0.164691,0.0
wddtw,missing,linear_trend,-0.359364,0.079446,-4.5234,6e-06,-0.515078,-0.20365,7.5e-06
wddtw,outlier,I0.05-I0.0,-0.428884,0.035529,-12.0713,0.0,-0.498521,-0.359247,0.0
wddtw,outlier,I0.1-I0.0,-0.471155,0.035529,-13.2611,0.0,-0.540793,-0.401518,0.0
wddtw,outlier,I0.2-I0.0,-0.491406,0.035529,-13.831,0.0,-0.561043,-0.421768,0.0
wddtw,outlier,I0.4-I0.0,-0.489259,0.035529,-13.7706,0.0,-0.558896,-0.419622,0.0
wddtw,outlier,linear_trend,-0.804389,0.079446,-10.125,0.0,-0.960103,-0.648676,0.0
wdtw,jittering,I0.05-I0.0,-0.04722,0.035529,-1.329,0.183836,-0.116857,0.022418,0.20177121951219512
wdtw,jittering,I0.1-I0.0,-0.060039,0.035529,-1.6899,0.091056,-0.129676,0.009598,0.11000053691275168
wdtw,jittering,I0.2-I0.0,-0.117557,0.035529,-3.3088,0.000937,-0.187195,-0.04792,0.0014794736842105264
wdtw,jittering,I0.4-I0.0,-0.19948,0.035529,-5.6145,0.0,-0.269118,-0.129843,0.0
wdtw,jittering,linear_trend,-0.48024,0.079446,-6.0449,0.0,-0.635954,-0.324527,0.0
wdtw,missing,I0.05-I0.0,-0.102662,0.035529,-2.8895,0.003859,-0.172299,-0.033024,0.005740661157024793
wdtw,missing,I0.1-I0.0,-0.109291,0.035529,-3.0761,0.002097,-0.178928,-0.039653,0.0031455
wdtw,missing,I0.2-I0.0,-0.135621,0.035529,-3.8172,0.000135,-0.205259,-0.065984,0.0002479591836734694
wdtw,missing,I0.4-I0.0,-0.146458,0.035529,-4.1222,3.8e-05,-0.216095,-0.076821,7.772727272727273e-05
wdtw,missing,linear_trend,-0.276649,0.079446,-3.4822,0.000497,-0.432363,-0.120935,0.0005454878048780489
wdtw,outlier,I0.05-I0.0,-0.298102,0.035529,-8.3903,0.0,-0.367739,-0.228465,0.0
wdtw,outlier,I0.1-I0.0,-0.354479,0.035529,-9.9771,0.0,-0.424117,-0.284842,0.0
wdtw,outlier,I0.2-I0.0,-0.398529,0.035529,-11.2169,0.0,-0.468167,-0.328892,0.0
wdtw,outlier,I0.4-I0.0,-0.413962,0.035529,-11.6513,0.0,-0.483599,-0.344324,0.0
wdtw,outlier,linear_trend,-0.758827,0.079446,-9.5515,0.0,-0.914541,-0.603113,0.0
